,videoId,0
400,p34-6mqzMds,100
401,p3CPeohtLsQ,29
402,pW6hqDDhIVs,100
403,pZU5I-wCLIA,100
404,pqXlctALNNs,100
405,pzZhq6-4QBk,46
406,q1JivUZftYc,100
407,qeKsrIEuWQA,100
408,r1mhhIBRpps,100
409,r9SRPJX4RSQ,100
410,rBxbb3y8Dis,100
411,rFVtJfXmv-0,100
412,rOEcpQOMySc,100
413,rWp0lr7HCXI,100
414,rc5ebt9bdZo,100
415,riFwdW7unZA,100
416,rjMizj-k5Xg,52
417,sDm_ww1kays,34
418,sH-ZNfu2PLc,82
419,sNhQqKxfSx8,13
420,sRjHaYPPlGQ,100
421,sTU2RfkPFQw,38
422,sZJTF6XfyAw,100
423,sZaqP9Sj-0A,100
424,s_7QmqEqbOU,100
425,sftBSFtaw0w,100
426,slP0FWs_XDA,24
427,srGcA2K_v3A,100
428,suJxZkf7FJ8,100
429,svBf7XW6QkQ,100
430,swswuGhfzoA,100
431,t4KxBdy35UU,100
432,t6PpYeSFGIY,100
433,tCVfn_FiihQ,100
434,tMAkWrxUiKA,100
435,tSWLmVFplQY,97
436,tWTVa7CDPxY,100
437,tXaxBoV5wF4,65
438,tXg2AQ-fLzs,100
439,t_celYDPiac,100
440,tcwLptFQ6fQ,100
441,tijX9-Huyi4,100
442,trFaoW_0lVs,100
443,ts_ZNySfWfQ,100
444,tu1IQ1-2uys,17
445,u2l9z8XPqJ4,100
446,uA7DJrUouNA,100
447,uHPmxyc6Gsk,100
448,uHsC46ih9pw,21
449,uTWSaXJh7OU,100
450,u_TmXvf8jaI,100
451,uchAXu4ob7w,100
452,ufb2FvYgAB4,100
453,uglSkfoASsg,100
454,vCuUeJz1QAU,23
455,vJoznCoan2M,11
456,vNo7I_kP6ho,100
457,vXp6uXZSy28,100
458,vYlzBDEgHlk,100
459,vlcbdgPXcQQ,87
460,vlnVN39UTjE,79
461,w4DVFfECri4,100
462,w6nmMDp3vCk,67
463,wSX1ENDNyY8,40
464,wZqSLC9Id1g,100
465,wappac7MfkQ,98
466,wmS9NacmsjQ,100
467,x-QmtT0A-4w,100
468,x1k4VryhsY0,100
469,x7I1g0BqO7w,10
470,x7Yr5gW8_nM,47
471,x8dHrIVV1lA,39
472,xBbJHgpntTU,100
473,xDPIXT9qeeE,1
474,xaNmSHa9Q_E,100
475,xkNF0d1ZFyE,99
476,xxVeABVLj34,41
477,xyiV4x67tEc,27
478,y2fOvLI6_eQ,100
479,yFmjI54U_5s,100
480,yGoxdnCm8xI,100
481,yK0mRH8XS24,4
482,ycEYcsNV7c4,100
483,yeCCFj8Xup4,100
484,yiB46Qh8vqg,37
485,yn1oKiZmL5w,35
486,yn91dr8db2A,100
487,ypaDNEO2v2U,100
488,yq1uw2mPHog,33
489,ytIJiYa1ibQ,26
490,yzD3JxM0G9A,100
491,zIamYBhRUxY,100
492,zYszt4ApJc4,100
493,zZWx3nMiZlo,100
494,zb2a1_VwtlQ,100
495,zbzUQQXkJHo,100
496,zcvo54RwBBg,100
497,zf3pwwOeMTA,88
498,zl6Sk1-fTa8,47
499,zwD6nWT-p8U,6
